sample1	dist	sample2
57874_S474_L005	8	STP_48481_S253_L004
6316_S68	8	STP_48481_S253_L004
STP_53446_S221_L004	8	STP_50745_S214_L004
STP_50745_S214_L004	8	STP_53446_S221_L004
58024_S383_L005	8	STP_56124A_S217_L004
STP_38200_S243_L004	8	STP_56124A_S217_L004
58024_S383_L005	8	STP_56124B_S236_L004
STP63114_S648_L006	9	37357_S514_L005
59303_S590_L006	9	4294_S81
STP64006-S55	9	4294_S81
6256_S91	9	47977_S520_L005
STP62059_S666_L006	9	5241_S96
59303_S590_L006	9	5398_S103
4294_S81	9	59303_S590_L006
5398_S103	9	59303_S590_L006
59854_S588_L006	9	59502_S583_L006
STP_37679_S207_L004	9	59502_S583_L006
59502_S583_L006	9	59854_S588_L006
STP_35872_S261_L004	9	60604_S593_L006
47977_S520_L005	9	6256_S91
STP_37524_S197_L004	9	6357_S87
STP61478-S35	9	STP61394_S636_L006
STP61394_S636_L006	9	STP61478-S35
STP70066-S42	9	STP61755-S16
5241_S96	9	STP62059_S666_L006
37357_S514_L005	9	STP63114_S648_L006
STP70066-S42	9	STP64003-S12
4294_S81	9	STP64006-S55
STP61755-S16	9	STP70066-S42
STP64003-S12	9	STP70066-S42
60604_S593_L006	9	STP_35872_S261_L004
6357_S87	9	STP_37524_S197_L004
59502_S583_L006	9	STP_37679_S207_L004
STP_56124B_S236_L004	9	STP_38200_S243_L004
STP_56124A_S217_L004	9	STP_38249_S244_L004
STP_38249_S244_L004	9	STP_56124A_S217_L004
STP_38200_S243_L004	9	STP_56124B_S236_L004
STP63405_S657_L006	10	47977_S520_L005
STP62876_S651_L006	10	55026_S613_L006
STP_37173_S200_L004	10	56124_S488_L005
6316_S68	10	57874_S474_L005
STP61626_S638_L006	10	5872_S85
57874_S474_L005	10	6316_S68
5872_S85	10	STP61626_S638_L006
55026_S613_L006	10	STP62876_S651_L006
47977_S520_L005	10	STP63405_S657_L006
STP70066-S42	10	STP63725-S22
STP63725-S22	10	STP70066-S42
STP_45169_S231_L004	10	STP_36783_S247_L004
56124_S488_L005	10	STP_37173_S200_L004
STP_56124B_S236_L004	10	STP_38249_S244_L004
STP_36783_S247_L004	10	STP_45169_S231_L004
STP_38249_S244_L004	10	STP_56124B_S236_L004
STP_47571_S257_L004	11	57874_S474_L005
STP64006-S55	11	59303_S590_L006
59303_S590_L006	11	STP64006-S55
STP70066-S42	11	STP68461-S41
STP68461-S41	11	STP70066-S42
STP_37524_S197_L004	11	STP_37469_S198_L004
STP_37469_S198_L004	11	STP_37524_S197_L004
STP_48478_S220_L004	11	STP_38200_S243_L004
57874_S474_L005	11	STP_47571_S257_L004
STP_38200_S243_L004	11	STP_48478_S220_L004
STP61858_S628_L006	12	59502_S583_L006
STP_52570_S258_L004	12	60675_S594_L006
59502_S583_L006	12	STP61858_S628_L006
STP_35241_S213_L004	12	STP68351-S46
STP68351-S46	12	STP_35241_S213_L004
STP_56124A_S217_L004	12	STP_37173_S200_L004
STP_56124B_S236_L004	12	STP_37173_S200_L004
STP_48481_S253_L004	12	STP_47571_S257_L004
STP_52570_S258_L004	12	STP_48351_S230_L004
STP_47571_S257_L004	12	STP_48481_S253_L004
60675_S594_L006	12	STP_52570_S258_L004
STP_48351_S230_L004	12	STP_52570_S258_L004
STP_37173_S200_L004	12	STP_56124A_S217_L004
STP_37173_S200_L004	12	STP_56124B_S236_L004
5978_S78	13	57874_S474_L005
57874_S474_L005	13	5978_S78
STP63405_S657_L006	13	6256_S91
STP63405_S657_L006	13	6393_S83
STP_37681_S209_L004	13	STP62059_S666_L006
STP_47995_S234_L004	13	STP62059_S666_L006
6256_S91	13	STP63405_S657_L006
6393_S83	13	STP63405_S657_L006
STP62059_S666_L006	13	STP_37681_S209_L004
STP62059_S666_L006	13	STP_47995_S234_L004
STP62059_S666_L006	14	38020_S490_L005
STP61303_S674_L006	14	55026_S613_L006
STP_48478_S220_L004	14	56124_S488_L005
6206_S93	14	57874_S474_L005
STP_37710_S202_L004	14	57874_S474_L005
6316_S68	14	5978_S78
STP_48351_S230_L004	14	60675_S594_L006
57874_S474_L005	14	6206_S93
5978_S78	14	6316_S68
STP_47571_S257_L004	14	6316_S68
55026_S613_L006	14	STP61303_S674_L006
TUN72219-S6	14	STP61349-S39
38020_S490_L005	14	STP62059_S666_L006
STP_52570_S258_L004	14	STP62059_S666_L006
STP_36783_S247_L004	14	STP62294_S675_L006
STP62294_S675_L006	14	STP_36783_S247_L004
57874_S474_L005	14	STP_37710_S202_L004
STP_48481_S253_L004	14	STP_37710_S202_L004
6316_S68	14	STP_47571_S257_L004
60675_S594_L006	14	STP_48351_S230_L004
56124_S488_L005	14	STP_48478_S220_L004
STP_37710_S202_L004	14	STP_48481_S253_L004
STP62059_S666_L006	14	STP_52570_S258_L004
TUN72219-S6	14	TUN68349-S7
STP61349-S39	14	TUN72219-S6
TUN68349-S7	14	TUN72219-S6
59502_S583_L006	15	36885_S576_L006
STP_48478_S220_L004	15	37301_S498_L005
57874_S474_L005	15	38033_S487_L005
STP_48481_S253_L004	15	38033_S487_L005
5119_S77	15	40725_S480_L005
59419_S505_L005	15	40726_S492_L005
40725_S480_L005	15	5119_S77
STP_52570_S258_L004	15	5241_S96
38033_S487_L005	15	57874_S474_L005
STP62294_S675_L006	15	58024_S383_L005
40726_S492_L005	15	59419_S505_L005
36885_S576_L006	15	59502_S583_L006
STP_48481_S253_L004	15	5978_S78
STP61858_S628_L006	15	59854_S588_L006
6316_S68	15	6206_S93
6206_S93	15	6316_S68
TUN71744-S9	15	STP61652-S5
STP63725-S22	15	STP61755-S16
59854_S588_L006	15	STP61858_S628_L006
STP_37679_S207_L004	15	STP61858_S628_L006
58024_S383_L005	15	STP62294_S675_L006
STP61755-S16	15	STP63725-S22
STP64003-S12	15	STP63725-S22
STP63725-S22	15	STP64003-S12
STP_53446_S221_L004	15	STP68351-S46
TUN71744-S9	15	STP68544-S36
STP_52570_S258_L004	15	STP_35241_S213_L004
STP61858_S628_L006	15	STP_37679_S207_L004
STP_50745_S214_L004	15	STP_37681_S209_L004
STP_50745_S214_L004	15	STP_47995_S234_L004
37301_S498_L005	15	STP_48478_S220_L004
STP_56124A_S217_L004	15	STP_48478_S220_L004
38033_S487_L005	15	STP_48481_S253_L004
5978_S78	15	STP_48481_S253_L004
STP_37681_S209_L004	15	STP_50745_S214_L004
STP_47995_S234_L004	15	STP_50745_S214_L004
5241_S96	15	STP_52570_S258_L004
STP_35241_S213_L004	15	STP_52570_S258_L004
STP68351-S46	15	STP_53446_S221_L004
STP_48478_S220_L004	15	STP_56124A_S217_L004
STP61652-S5	15	TUN71744-S9
STP68544-S36	15	TUN71744-S9
TUN75121-S13	15	TUN71744-S9
TUN71744-S9	15	TUN75121-S13
STP_45954_S229_L004	16	37851_S516_L005
STP_35241_S213_L004	16	38020_S490_L005
STP_50745_S214_L004	16	38020_S490_L005
56886_S477_L005	16	45224_S579_L006
45224_S579_L006	16	56886_S477_L005
STP68461-S41	16	STP61755-S16
STP68461-S41	16	STP64003-S12
STP_52570_S258_L004	16	STP68351-S46
STP61755-S16	16	STP68461-S41
STP64003-S12	16	STP68461-S41
38020_S490_L005	16	STP_35241_S213_L004
STP_37681_S209_L004	16	STP_35241_S213_L004
STP_47995_S234_L004	16	STP_35241_S213_L004
STP_47214_S233_L004	16	STP_37680_S208_L004
STP_35241_S213_L004	16	STP_37681_S209_L004
STP_48478_S220_L004	16	STP_38249_S244_L004
37851_S516_L005	16	STP_45954_S229_L004
STP_37680_S208_L004	16	STP_47214_S233_L004
STP_35241_S213_L004	16	STP_47995_S234_L004
STP_38249_S244_L004	16	STP_48478_S220_L004
STP_56124B_S236_L004	16	STP_48478_S220_L004
38020_S490_L005	16	STP_50745_S214_L004
STP_52570_S258_L004	16	STP_50745_S214_L004
STP68351-S46	16	STP_52570_S258_L004
STP_50745_S214_L004	16	STP_52570_S258_L004
STP_53446_S221_L004	16	STP_52570_S258_L004
STP_52570_S258_L004	16	STP_53446_S221_L004
STP_48478_S220_L004	16	STP_56124B_S236_L004
39177_S493_L005	17	37794_S515_L005
STP_53446_S221_L004	17	38020_S490_L005
37794_S515_L005	17	39177_S493_L005
STP62294_S675_L006	17	55026_S613_L006
STP62059_S666_L006	17	59712_S585_L006
STP62059_S666_L006	17	60675_S594_L006
STP_48481_S253_L004	17	6206_S93
59712_S585_L006	17	STP62059_S666_L006
60675_S594_L006	17	STP62059_S666_L006
STP_48351_S230_L004	17	STP62059_S666_L006
55026_S613_L006	17	STP62294_S675_L006
STP62876_S651_L006	17	STP62294_S675_L006
STP62294_S675_L006	17	STP62876_S651_L006
STP_52570_S258_L004	17	STP_37681_S209_L004
STP_53446_S221_L004	17	STP_37681_S209_L004
STP_52570_S258_L004	17	STP_47995_S234_L004
STP_53446_S221_L004	17	STP_47995_S234_L004
STP62059_S666_L006	17	STP_48351_S230_L004
6206_S93	17	STP_48481_S253_L004
STP_37681_S209_L004	17	STP_52570_S258_L004
STP_47995_S234_L004	17	STP_52570_S258_L004
38020_S490_L005	17	STP_53446_S221_L004
STP_37681_S209_L004	17	STP_53446_S221_L004
STP_47995_S234_L004	17	STP_53446_S221_L004
59854_S588_L006	18	36885_S576_L006
STP_37679_S207_L004	18	36885_S576_L006
STP_47995_S234_L004	18	38020_S490_L005
STP64006-S55	18	5398_S103
STP_56124B_S236_L004	18	57874_S474_L005
STP_47571_S257_L004	18	5978_S78
36885_S576_L006	18	59854_S588_L006
STP59359-S10	18	STP57875-S4
STP61755-S16	18	STP57875-S4
STP64003-S12	18	STP57875-S4
STP57875-S4	18	STP59359-S10
STP57875-S4	18	STP61755-S16
STP57875-S4	18	STP64003-S12
5398_S103	18	STP64006-S55
36885_S576_L006	18	STP_37679_S207_L004
STP_47571_S257_L004	18	STP_37710_S202_L004
5978_S78	18	STP_47571_S257_L004
STP_37710_S202_L004	18	STP_47571_S257_L004
38020_S490_L005	18	STP_47995_S234_L004
STP_56124B_S236_L004	18	STP_48481_S253_L004
57874_S474_L005	18	STP_56124B_S236_L004
STP_48481_S253_L004	18	STP_56124B_S236_L004
STP63022_S650_L006	19	37357_S514_L005
STP_37681_S209_L004	19	38020_S490_L005
STP_52570_S258_L004	19	38020_S490_L005
STP_47571_S257_L004	19	38033_S487_L005
STP61024_S634_L006	19	39390_S489_L005
STP_50745_S214_L004	19	59712_S585_L006
6206_S93	19	5978_S78
STP_50745_S214_L004	19	60675_S594_L006
5978_S78	19	6206_S93
STP_47571_S257_L004	19	6206_S93
39390_S489_L005	19	STP61024_S634_L006
STP62440_S673_L006	19	STP61303_S674_L006
STP_38200_S243_L004	19	STP62294_S675_L006
STP61303_S674_L006	19	STP62440_S673_L006
37357_S514_L005	19	STP63022_S650_L006
STP_37681_S209_L004	19	STP68351-S46
STP_50745_S214_L004	19	STP68351-S46
38020_S490_L005	19	STP_37681_S209_L004
STP68351-S46	19	STP_37681_S209_L004
STP62294_S675_L006	19	STP_38200_S243_L004
38033_S487_L005	19	STP_47571_S257_L004
6206_S93	19	STP_47571_S257_L004
STP_50745_S214_L004	19	STP_48351_S230_L004
59712_S585_L006	19	STP_50745_S214_L004
60675_S594_L006	19	STP_50745_S214_L004
STP68351-S46	19	STP_50745_S214_L004
STP_48351_S230_L004	19	STP_50745_S214_L004
38020_S490_L005	19	STP_52570_S258_L004
STP60827_S639_L006	20	36108_S596_L006
STP63114_S648_L006	20	38170_S517_L005
STP_50745_S214_L004	20	5241_S96
STP62294_S675_L006	20	56124_S488_L005
STP_56124A_S217_L004	20	57874_S474_L005
STP60970_S681_L006	20	58583_S504_L005
STP_44883_S232_L004	20	5860_S70
STP_35241_S213_L004	20	59712_S585_L006
STP_35241_S213_L004	20	60675_S594_L006
STP_37681_S209_L004	20	60675_S594_L006
STP_47995_S234_L004	20	60675_S594_L006
STP63748-S56	20	STP58674-S24
STP68352-S48	20	STP58674-S24
STP70066-S42	20	STP59359-S10
36108_S596_L006	20	STP60827_S639_L006
58583_S504_L005	20	STP60970_S681_L006
56124_S488_L005	20	STP62294_S675_L006
38170_S517_L005	20	STP63114_S648_L006
STP_55236_S219_L004	20	STP63114_S648_L006
STP58674-S24	20	STP63748-S56
STP58674-S24	20	STP68352-S48
STP59359-S10	20	STP70066-S42
59712_S585_L006	20	STP_35241_S213_L004
60675_S594_L006	20	STP_35241_S213_L004
STP_48351_S230_L004	20	STP_35241_S213_L004
60675_S594_L006	20	STP_37681_S209_L004
STP_48351_S230_L004	20	STP_37681_S209_L004
5860_S70	20	STP_44883_S232_L004
60675_S594_L006	20	STP_47995_S234_L004
STP_48351_S230_L004	20	STP_47995_S234_L004
STP_35241_S213_L004	20	STP_48351_S230_L004
STP_37681_S209_L004	20	STP_48351_S230_L004
STP_47995_S234_L004	20	STP_48351_S230_L004
STP_56124A_S217_L004	20	STP_48481_S253_L004
5241_S96	20	STP_50745_S214_L004
STP63114_S648_L006	20	STP_55236_S219_L004
57874_S474_L005	20	STP_56124A_S217_L004
STP_48481_S253_L004	20	STP_56124A_S217_L004
STP61858_S628_L006	21	36885_S576_L006
STP63042_S662_L006	21	37794_S515_L005
STP_37710_S202_L004	21	38033_S487_L005
STP60827_S639_L006	21	40726_S492_L005
60604_S593_L006	21	5872_S85
STP_52570_S258_L004	21	59712_S585_L006
STP_53446_S221_L004	21	59712_S585_L006
5872_S85	21	60604_S593_L006
STP_53446_S221_L004	21	60675_S594_L006
STP_56124B_S236_L004	21	6316_S68
40726_S492_L005	21	STP60827_S639_L006
STP_47214_S233_L004	21	STP61218_S630_L006
STP61626_S638_L006	21	STP61303_S674_L006
STP61303_S674_L006	21	STP61626_S638_L006
36885_S576_L006	21	STP61858_S628_L006
STP_56121_S238_L004	21	STP62059_S666_L006
STP_58121_S251_L004	21	STP62059_S666_L006
STP_56124A_S217_L004	21	STP62294_S675_L006
37794_S515_L005	21	STP63042_S662_L006
STP_52569_S218_L004	21	STP_37174_S201_L004
38033_S487_L005	21	STP_37710_S202_L004
STP61218_S630_L006	21	STP_47214_S233_L004
STP_56124B_S236_L004	21	STP_47571_S257_L004
STP_53446_S221_L004	21	STP_48351_S230_L004
STP_37174_S201_L004	21	STP_52569_S218_L004
59712_S585_L006	21	STP_52570_S258_L004
59712_S585_L006	21	STP_53446_S221_L004
60675_S594_L006	21	STP_53446_S221_L004
STP_48351_S230_L004	21	STP_53446_S221_L004
STP62059_S666_L006	21	STP_56121_S238_L004
STP62294_S675_L006	21	STP_56124A_S217_L004
6316_S68	21	STP_56124B_S236_L004
STP_47571_S257_L004	21	STP_56124B_S236_L004
STP62059_S666_L006	21	STP_58121_S251_L004
59712_S585_L006	22	38020_S490_L005
STP_48351_S230_L004	22	38020_S490_L005
STP_58121_S251_L004	22	38020_S490_L005
6316_S68	22	38033_S487_L005
45877_S511_L005	22	42165_S496_L005
42165_S496_L005	22	45877_S511_L005
59753_S592_L006	22	45877_S511_L005
STP_37681_S209_L004	22	5241_S96
57874_S474_L005	22	56124_S488_L005
59824_S584_L006	22	56124_S488_L005
6316_S68	22	56124_S488_L005
STP_48481_S253_L004	22	56124_S488_L005
56124_S488_L005	22	57874_S474_L005
STP60827_S639_L006	22	59419_S505_L005
38020_S490_L005	22	59712_S585_L006
45877_S511_L005	22	59753_S592_L006
56124_S488_L005	22	59824_S584_L006
38033_S487_L005	22	6316_S68
56124_S488_L005	22	6316_S68
59419_S505_L005	22	STP60827_S639_L006
STP62498_S642_L006	22	STP61303_S674_L006
STP_56124B_S236_L004	22	STP62294_S675_L006
STP61303_S674_L006	22	STP62498_S642_L006
STP_37681_S209_L004	22	STP70066-S42
5241_S96	22	STP_37681_S209_L004
STP70066-S42	22	STP_37681_S209_L004
38020_S490_L005	22	STP_48351_S230_L004
56124_S488_L005	22	STP_48481_S253_L004
STP62294_S675_L006	22	STP_56124B_S236_L004
38020_S490_L005	22	STP_58121_S251_L004
60675_S594_L006	23	38020_S490_L005
STP_56121_S238_L004	23	38020_S490_L005
59419_S505_L005	23	5446_S100
STP_38200_S243_L004	23	58024_S383_L005
5446_S100	23	59419_S505_L005
38020_S490_L005	23	60675_S594_L006
STP70066-S42	23	STP57875-S4
STP_37680_S208_L004	23	STP61218_S630_L006
